epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.001,0,,,
0,,0,,,156362.0625
,0.001,1,,,
1,,1,,,156121.015625
,0.001,2,,,
2,,2,,,155901.59375
,0.001,3,,,
3,,3,,,155653.609375
,0.001,4,,,
4,,4,,,155428.109375
,0.001,5,,,
5,,5,,,155258.21875
,0.001,6,,,
6,,6,,,155118.03125
,0.001,7,,,
7,,7,,,154950.890625
,0.001,8,,,
8,,8,,,154791.015625
,0.001,9,,,
9,,9,,,154670.09375
,0.001,10,,,
10,,10,,,154558.234375
,0.001,11,,,
11,,11,,,154472.953125
,0.001,12,,,
12,,12,,,154399.8125
,0.001,13,,,
13,,13,,,154342.78125
,0.001,14,,,
14,,14,,,154289.171875
,0.001,15,,,
15,,15,,,154229.765625
,0.001,16,,,
16,,16,,,154153.859375
,0.001,17,,,
17,,17,,,154079.203125
,0.001,18,,,
18,,18,,,154005.296875
,0.001,19,,,
19,,19,,,153946.234375
,0.001,20,,,
20,,20,,,153898.890625
,0.001,21,,,
21,,21,,,153855.3125
,0.001,22,,,
22,,22,,,153812.09375
,0.001,23,,,
23,,23,,,153765.703125
,0.001,24,,,
24,,24,,,153720.1875
,0.001,25,,,
25,,25,,,153677.515625
,0.001,26,,,
26,,26,,,153634.265625
,0.001,27,,,
27,,27,,,153590.625
,0.001,28,,,
28,,28,,,153546.59375
,0.001,29,,,
29,,29,,,153502.796875
,0.001,30,,,
30,,30,,,153458.796875
,0.001,31,,,
31,,31,,,153414.25
,0.001,32,,,
32,,32,,,153369.546875
,0.001,33,,,
33,,33,,,153324.8125
,0.001,34,,,
34,,34,,,153279.9375
,0.001,35,,,
35,,35,,,153234.875
,0.001,36,,,
36,,36,,,153189.546875
,0.001,37,,,
37,,37,,,153144.0625
,0.001,38,,,
38,,38,,,153098.421875
,0.001,39,,,
39,,39,,,153052.578125
,0.001,40,,,
40,,40,,,153006.59375
,0.001,41,,,
41,,41,,,152960.484375
,0.001,42,,,
42,,42,,,152914.1875
,0.001,43,,,
43,,43,,,152867.765625
,0.001,44,,,
44,,44,,,152821.234375
,0.001,45,,,
45,,45,,,152774.5625
,0.001,46,,,
46,,46,,,152727.765625
,0.001,47,,,
47,,47,,,152680.828125
,0.001,48,,,
48,,48,,,152633.8125
,0.001,49,,,
49,,49,,31785.453125,
49,,49,,,152586.671875
,0.001,50,,,
50,,50,,,152539.4375
,0.001,51,,,
51,,51,,,152492.046875
,0.001,52,,,
52,,52,,,152444.546875
,0.001,53,,,
53,,53,,,152396.921875
,0.001,54,,,
54,,54,,,152349.15625
,0.001,55,,,
55,,55,,,152301.28125
